State,Date,Time,Cumulative case count,Cumulative deaths,,,,,,,,,,,,
NT,25/03/2020,17:12,5,,,,,,,,,,,,,
NT,25/03/2020,19:51,6,,,,,,,,,,,,,
TAS,25/03/2020,17:12,34,,,,,,,,,,,,,
TAS,25/03/2020,19:55,42,,,,,,,,,,,,,
ACT,25/03/2020,17:12,44,,,,,,,,,,,,,
SA,25/03/2020,17:12,197,,,,,,,,,,,,,
WA,25/03/2020,17:12,205,,,,,,,,,,,,,
QLD,25/03/2020,17:12,443,,,,,,,,,,,,,
VIC,25/03/2020,17:12,466,,,,,,,,,,,,,
NSW,25/03/2020,17:12,1029,,,,,,,,,,,,,
NSW,25/03/2020,20:00,1219,,,,,,,,,,,,,
QLD,25/03/2020,,,1,,,,,,,,,,,,
NT,26/03/2020,21:57,12,,,,,,,,,,,,,
TAS,26/03/2020,19:35,47,,,,,,,,,,,,,
ACT,26/03/2020,13:19,53,,,,,,,,,,,,,
WA,26/03/2020,,231,2,,,,,,,,,,,,
SA,26/03/2020,,235,,,,,,,,,,,,,
QLD,26/03/2020,,493,,,,,,,,,,,,,
VIC,26/03/2020,14:05,520,2,,,,,,,,,,,,
NSW,26/03/2020,08:34,1405,,,,,,,,,,,,,
NSW,26/03/2020,20:00,1405,,,,,,,,,,,,,
TAS,27/03/2020,22:15,58,,,,,,,,,,,,,
ACT,27/03/2020,12:18,62,,,,,,,,,,,,,
WA,27/03/2020,15:00,255,,,,,,,,,,,,,
SA,27/03/2020,15:00,257,,,,,,,,,,,,,
QLD,27/03/2020,16:30,555,,,,,,,,,,,,,
VIC,27/03/2020,15:04,574,3,,,,,,,,,,,,
NSW,27/03/2020,23:00,1617,8,,,,,,,,,,,,
NT,28/03/2020,,14,,,,,,,,,,,,,
TAS,28/03/2020,,58,,,,,,,,,,,,,
ACT,28/03/2020,13:31,71,,,,,,,,,,,,,
WA,28/03/2020,,278,,,,,,,,,,,,,
SA,28/03/2020,,287,,,,,,,,,,,,,
QLD,28/03/2020,23:00,625,,,,,,,,,,,,,
VIC,28/03/2020,23:00,685,4,,,,,,,,,,,,
NSW,28/03/2020,20:00,1791,,,,,,,,,,,,,
TAS,29/03/2020,12:00,62,,,,,,,,,,,,,
TAS,29/03/2020,,66,,,,,,,,,,,,,
ACT,29/03/2020,12:15,77,,,,,,,,,,,,,
SA,29/03/2020,16:50,299,,,,,,,,,,,,,
WA,29/03/2020,18:56,311,,,,,,,,,,,,,
QLD,29/03/2020,11:30,656,2,,,,,,,,,,,,
VIC,29/03/2020,13:07,769,,,,,,,,,,,,,
NSW,29/03/2020,20:00,1918,,,,,,,,,,,,,
ACT,30/03/2020,13:45,78,1,,,,,,,,,,,,
SA,30/03/2020,20:15,305,,,,,,,,,,,,,
WA,30/03/2020,,355,,,,,,,,,,,,,
QLD,30/03/2020,16:57,689,,,,,,,,,,,,,
VIC,30/03/2020,08:40,821,,,,,,,,,,,,,
VIC,30/03/2020,13:53,821,4,,,,,,,,,,,,
NSW,30/03/2020,,2032,,,,,,,,,,,,,
TAS,30/03/2020,06:00,,1,,,,,,,,,,,,
NT,31/03/2020,,16,,,,,,,,,,,,,
TAS,31/03/2020,,68,2,,,,,,,,,,,,
ACT,31/03/2020,13:45,80,,,,,,,,,,,,,
SA,31/03/2020,,337,,,,,,,,,,,,,
WA,31/03/2020,,364,,,,,,,,,,,,,
QLD,31/03/2020,11:15,743,,,,,,,,,,,,,
VIC,31/03/2020,14:00,917,,,,,,,,,,,,,
NSW,31/03/2020,20:00,2182,9,,,,,,,,,,,,
NT,01/04/2020,15:00,18,,,,,,,,,,,,,
TAS,01/04/2020,,71,,,,,,,,,,,,,
ACT,01/04/2020,12:21,84,1,,,,,,,,,,,,
SA,01/04/2020,15:00,367,,,,,,,,,,,,,
WA,01/04/2020,14:40,392,,,,,,,,,,,,,
QLD,01/04/2020,,781,,,,,,,,,,,,,
VIC,01/04/2020,11:39,968,5,,,,,,,,,,,,
NSW,01/04/2020,23:00,2298,10,,,,,,,,,,,,
NT,02/04/2020,18:45,20,,,,,,,,,,,,,
TAS,02/04/2020,18:45,74,,,,,,,,,,,,,
ACT,02/04/2020,12:00,87,,,,,,,,,,,,,
ACT,02/04/2020,18:45,88,,,,,,,,,,,,,
